Pass #: 275; Equity: 50,869.04; Profit / Loss: 958.20; Balance: 50,869.04; Total Trades: 31; Profit Factor: 2.37; Parameters: multiplier=4, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 328; Equity: 50,863.95; Profit / Loss: 945.20; Balance: 50,863.95; Total Trades: 27; Profit Factor: 2.91; Parameters: multiplier=5, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 332; Equity: 50,863.95; Profit / Loss: 945.20; Balance: 50,863.95; Total Trades: 28; Profit Factor: 2.91; Parameters: multiplier=5, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 336; Equity: 50,863.95; Profit / Loss: 945.20; Balance: 50,863.95; Total Trades: 28; Profit Factor: 2.91; Parameters: multiplier=5, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 240; Equity: 50,854.29; Profit / Loss: 947.60; Balance: 50,854.29; Total Trades: 32; Profit Factor: 2.85; Parameters: multiplier=5, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 244; Equity: 50,854.29; Profit / Loss: 947.60; Balance: 50,854.29; Total Trades: 32; Profit Factor: 2.85; Parameters: multiplier=5, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 248; Equity: 50,854.29; Profit / Loss: 947.60; Balance: 50,854.29; Total Trades: 32; Profit Factor: 2.85; Parameters: multiplier=5, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 254; Equity: 50,846.93; Profit / Loss: 948.40; Balance: 50,846.93; Total Trades: 33; Profit Factor: 2.24; Parameters: multiplier=3, zoneShrink=1.3, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 323; Equity: 50,846.15; Profit / Loss: 927.20; Balance: 50,846.15; Total Trades: 30; Profit Factor: 2.61; Parameters: multiplier=4, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 246; Equity: 50,843.33; Profit / Loss: 944.80; Balance: 50,843.33; Total Trades: 33; Profit Factor: 2.23; Parameters: multiplier=3, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 224; Equity: 50,834.41; Profit / Loss: 911.60; Balance: 50,834.41; Total Trades: 24; Profit Factor: 3.27; Parameters: multiplier=5, zoneShrink=0.5, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 284; Equity: 50,803.95; Profit / Loss: 885.20; Balance: 50,803.95; Total Trades: 27; Profit Factor: 2.82; Parameters: multiplier=5, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 288; Equity: 50,803.95; Profit / Loss: 885.20; Balance: 50,803.95; Total Trades: 28; Profit Factor: 2.82; Parameters: multiplier=5, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 292; Equity: 50,803.95; Profit / Loss: 885.20; Balance: 50,803.95; Total Trades: 28; Profit Factor: 2.82; Parameters: multiplier=5, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 317; Equity: 50,793.50; Profit / Loss: 886.80; Balance: 50,793.50; Total Trades: 30; Profit Factor: 1.93; Parameters: multiplier=2, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 296; Equity: 50,792.34; Profit / Loss: 873.40; Balance: 50,792.34; Total Trades: 28; Profit Factor: 2.41; Parameters: multiplier=5, zoneShrink=1.2, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 300; Equity: 50,792.34; Profit / Loss: 873.40; Balance: 50,792.34; Total Trades: 28; Profit Factor: 2.41; Parameters: multiplier=5, zoneShrink=1.3, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 250; Equity: 50,773.40; Profit / Loss: 870.80; Balance: 50,773.40; Total Trades: 32; Profit Factor: 2.13; Parameters: multiplier=3, zoneShrink=1.2, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 84; Equity: 50,755.74; Profit / Loss: 841.00; Balance: 50,755.74; Total Trades: 30; Profit Factor: 4.04; Parameters: multiplier=5, zoneShrink=1.4, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=20, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 193; Equity: 50,751.29; Profit / Loss: 864.60; Balance: 50,751.29; Total Trades: 43; Profit Factor: 2.01; Parameters: multiplier=2, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 229; Equity: 50,748.45; Profit / Loss: 853.80; Balance: 50,748.45; Total Trades: 36; Profit Factor: 2.01; Parameters: multiplier=2, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
