Pass #: 75; Equity: 52,884.79; Profit / Loss: 2,914.20; Balance: 52,884.79; Total Trades: 8; Profit Factor: 2.79; Parameters: multiplier=2.0, zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=4.0
Pass #: 25; Equity: 52,689.10; Profit / Loss: 2,755.60; Balance: 52,593.70; Total Trades: 22; Profit Factor: 1.56; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=2.5
Pass #: 76; Equity: 52,512.47; Profit / Loss: 2,616.20; Balance: 52,417.07; Total Trades: 27; Profit Factor: 1.65; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.6, numberOfBars=150, tpMultiplier=4.5
Pass #: 20; Equity: 52,115.08; Profit / Loss: 2,196.20; Balance: 52,115.08; Total Trades: 21; Profit Factor: 1.67; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.9, numberOfBars=150, tpMultiplier=2.5
Pass #: 2; Equity: 52,070.26; Profit / Loss: 2,175.60; Balance: 52,070.26; Total Trades: 31; Profit Factor: 1.61; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.6, numberOfBars=150, tpMultiplier=2.0
Pass #: 31; Equity: 51,895.23; Profit / Loss: 1,998.20; Balance: 51,799.83; Total Trades: 27; Profit Factor: 1.52; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.6, numberOfBars=150, tpMultiplier=3.0
Pass #: 61; Equity: 51,833.69; Profit / Loss: 1,938.20; Balance: 51,738.29; Total Trades: 27; Profit Factor: 1.46; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.6, numberOfBars=150, tpMultiplier=4.0
Pass #: 28; Equity: 51,800.10; Profit / Loss: 1,866.60; Balance: 51,704.70; Total Trades: 22; Profit Factor: 1.31; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=2.5
Pass #: 74; Equity: 51,742.96; Profit / Loss: 1,772.40; Balance: 51,742.96; Total Trades: 8; Profit Factor: 1.63; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=4.0
Pass #: 39; Equity: 51,492.74; Profit / Loss: 1,607.20; Balance: 51,492.74; Total Trades: 38; Profit Factor: 1.23; Parameters: multiplier=2.0, zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=3.0
Pass #: 19; Equity: 51,358.68; Profit / Loss: 1,444.80; Balance: 51,263.28; Total Trades: 23; Profit Factor: 1.30; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.9, numberOfBars=150, tpMultiplier=2.5
Pass #: 10; Equity: 51,209.31; Profit / Loss: 1,275.80; Balance: 51,113.91; Total Trades: 22; Profit Factor: 1.24; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=2.0
Pass #: 46; Equity: 51,157.69; Profit / Loss: 1,262.20; Balance: 51,062.29; Total Trades: 27; Profit Factor: 1.28; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.6, numberOfBars=150, tpMultiplier=3.5
