Pass #: 64; Equity: 52,593.40; Profit / Loss: 2,629.60; Balance: 52,593.40; Total Trades: 12; Profit Factor: 2.51; Parameters: zoneShrink=0.25, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=80, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.7, numberOfBars=300, tpMultiplier=0.9
Pass #: 103; Equity: 52,371.80; Profit / Loss: 2,408.00; Balance: 52,371.80; Total Trades: 11; Profit Factor: 2.46; Parameters: zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=80, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.5, numberOfBars=300, tpMultiplier=1.0
Pass #: 104; Equity: 52,371.80; Profit / Loss: 2,408.00; Balance: 52,371.80; Total Trades: 12; Profit Factor: 2.46; Parameters: zoneShrink=0.25, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=80, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.5, numberOfBars=300, tpMultiplier=1.0
Pass #: 149; Equity: 54,132.08; Profit / Loss: 4,176.20; Balance: 54,132.08; Total Trades: 14; Profit Factor: 2.46; Parameters: zoneShrink=0.25, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=100, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.7, numberOfBars=300, tpMultiplier=1.0
Pass #: 145; Equity: 53,307.17; Profit / Loss: 3,351.40; Balance: 53,307.17; Total Trades: 14; Profit Factor: 2.45; Parameters: zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=80, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.7, numberOfBars=300, tpMultiplier=1.0
Pass #: 134; Equity: 54,236.12; Profit / Loss: 4,276.40; Balance: 54,236.12; Total Trades: 14; Profit Factor: 2.44; Parameters: zoneShrink=0.25, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=120, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.6, numberOfBars=300, tpMultiplier=1.0
Pass #: 135; Equity: 54,236.12; Profit / Loss: 4,276.40; Balance: 54,236.12; Total Trades: 14; Profit Factor: 2.44; Parameters: zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=120, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.6, numberOfBars=300, tpMultiplier=1.0
Pass #: 253; Equity: 54,223.92; Profit / Loss: 4,270.40; Balance: 54,223.92; Total Trades: 14; Profit Factor: 2.44; Parameters: zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=120, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.4, numberOfBars=300, tpMultiplier=1.2
Pass #: 294; Equity: 54,225.41; Profit / Loss: 4,261.60; Balance: 54,225.41; Total Trades: 12; Profit Factor: 2.44; Parameters: zoneShrink=0.25, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=120, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.6, numberOfBars=300, tpMultiplier=1.2
Pass #: 295; Equity: 54,225.41; Profit / Loss: 4,261.60; Balance: 54,225.41; Total Trades: 12; Profit Factor: 2.44; Parameters: zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=4 Hours, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=120, myPeriod=4 Hours, candlesToWait=15, slMultiplier=0.6, numberOfBars=300, tpMultiplier=1.2
